total_estimate_educational_attainment_population_25_years_and_over,percent_below_poverty_level_estimate_age_65_years_and_over,"percent_below_poverty_level_estimate_worked_full-time,_year-round_in_the_past_12_months",total_estimate_age_18_to_64_years,total_estimate_employment_status_civilian_labor_force_16_years_and_over,total_estimate_population_for_whom_poverty_status_is_determined,percent_below_poverty_level_estimate_age_under_18_years,percent_below_poverty_level_estimate_population_for_whom_poverty_status_is_determined,total_estimate_sex_female,total_estimate_work_experience_population_16_years_and_over,total_estimate_mean_income_deficit_for_unrelated_individuals_(dollars),total_estimate_age_under_18_years,total_estimate_sex_male,total_estimate_age_65_years_and_over,percent_below_poverty_level_estimate_age_18_to_64_years,Year,city_name
114472,8.9,6.0,147261,109707,214496,28.5,30.0,108267,170824,7816.0,48240,106229,18995,33.1,2010,"College Station, TX"
407662,5.3,1.8,401644,320257,631487,18.9,13.3,319723,484674,5725.0,165230,311764,64613,12.2,2010,"Colorado Springs, CO"
97771,10.9,7.4,109054,89655,161392,16.8,20.5,82262,128621,7340.0,36519,79130,15819,23.1,2010,"Columbia, MO"
483974,9.9,1.5,477927,389527,738239,21.5,16.2,380639,581920,6494.0,177006,357600,83306,15.3,2010,"Columbia, SC"
53278,7.7,0.0,50587,40559,79673,12.9,13.4,41498,62546,6160.0,19033,38175,10053,14.6,2010,"Columbia, TN"
175866,15.4,2.6,167267,127763,273210,27.7,19.5,146940,209337,5571.0,73001,126270,32942,16.7,2010,"Columbus, GA"
49867,4.5,1.9,45868,38903,74701,24.2,13.3,37465,58309,6120.0,19085,37236,9748,10.6,2010,"Columbus, IN"
1177042,7.4,2.9,1157331,982680,1795197,20.7,15.7,919819,1394753,6418.0,448623,875378,189243,15.1,2010,"Columbus, OH"
99046,7.4,1.5,90527,80745,140562,11.4,10.1,71888,113417,6445.0,31097,68674,18938,10.2,2010,"Concord, NH"
70141,11.2,6.7,64667,49427,103273,28.1,19.8,53504,84179,6886.0,21705,49769,16901,19.2,2010,"Cookeville, TN"
46464,7.5,3.9,37759,27215,61927,21.5,18.1,31458,51368,6404.0,11455,30469,12713,20.6,2010,"Coos Bay, OR"
67324,8.5,2.4,60254,47819,97173,18.8,13.6,49252,77739,5841.0,22004,47921,14915,13.0,2010,"Corning, NY"
270734,9.7,5.7,258376,202414,422994,33.2,20.5,214966,324198,5549.0,112214,208028,52404,17.2,2010,"Corpus Christi, TX"
50386,5.7,11.5,55953,42110,81455,13.9,21.2,40496,67923,7493.0,15190,40959,10312,26.0,2010,"Corvallis, OR"
118767,4.2,0.8,112121,92874,175554,19.7,12.4,88220,141337,6534.0,39620,87334,23813,11.6,2010,"Crestview, FL"
53581,9.9,0.0,48175,35716,79692,29.3,21.1,40254,63061,6264.0,18892,39438,12625,20.9,2010,"Cullman, AL"
66258,9.0,5.8,57464,43119,94101,27.6,17.7,48381,78660,5386.0,18383,45720,18254,17.3,2010,"Cumberland, MD"
3968513,8.0,3.1,3990942,3348972,6299217,21.2,14.6,3200991,4725596,6591.0,1762544,3098226,545731,12.6,2010,"Dallas, TX"
86819,8.1,1.0,85265,65547,138806,27.7,21.0,69104,104812,6574.0,38461,69702,15080,20.2,2010,"Dalton, GA"
54609,7.8,3.1,48507,36361,81083,33.6,21.4,41548,63185,7221.0,19824,39535,12752,20.0,2010,"Danville, IL"
73970,10.2,4.7,62436,50093,103103,36.9,21.2,54123,84455,6104.0,21340,48980,19327,19.3,2010,"Danville, VA"
126020,5.3,5.6,109204,86294,180686,19.3,13.1,92375,143759,5829.0,41865,88311,29617,12.8,2010,"Daphne, AL"
254087,7.0,5.6,229942,192873,373361,19.6,13.3,191662,294289,6063.0,88518,181699,54901,12.4,2010,"Davenport, IA"
555900,8.7,3.9,503374,408758,816368,25.0,16.3,420645,649668,6049.0,190191,395723,122803,14.9,2010,"Dayton, OH"
100927,11.8,4.0,93704,74657,151428,17.9,14.1,77419,119008,5525.0,36526,74009,21198,13.1,2010,"Decatur, AL"
73425,5.7,1.9,64933,52922,106949,28.4,18.3,55900,85413,6007.0,24771,51049,17245,17.8,2010,"Decatur, IL"
351072,6.8,4.5,285893,218390,479516,26.7,16.3,247026,399134,7105.0,91221,232490,102402,16.4,2010,"Deltona, FL"
1687135,8.7,2.3,1648278,1416214,2528945,16.7,12.5,1275108,1968470,6376.0,628321,1253837,252346,11.5,2010,"Denver, CO"
366923,4.0,2.9,351497,317991,558811,13.5,9.9,280620,427946,5910.0,146293,278191,61021,9.5,2010,"Des Moines, IA"
2857005,9.1,3.2,2669153,2134877,4250759,23.8,16.6,2190286,3356413,6241.0,1027974,2060473,553632,15.4,2010,"Detroit, MI"
98435,11.9,6.7,87845,69559,143229,25.2,17.1,75150,113989,4802.0,33530,68079,21854,15.3,2010,"Dothan, AL"
101691,8.5,0.6,96036,75782,156845,18.9,11.2,80272,121437,5384.0,40328,76573,20481,8.6,2010,"Dover, DE"
55277,5.5,2.7,48631,38007,78158,25.1,16.4,38634,64295,6429.0,16126,39524,13401,16.5,2010,"DuBois, PA"
59616,9.2,5.4,53146,50136,87884,12.0,10.1,44633,68554,4549.0,21817,43251,12921,9.6,2010,"Dubuque, IA"
187255,8.9,4.4,172102,142438,270007,20.5,16.2,134481,221616,5730.0,55443,135526,42462,16.6,2010,"Duluth, MN"
69906,11.0,1.3,67647,48762,111627,21.6,15.6,56604,83081,4679.0,32156,55023,11824,13.5,2010,"Dunn, NC"
324259,8.2,3.5,316797,260676,480525,24.9,18.9,251782,383313,7416.0,109228,228743,54500,18.7,2010,"Durham, NC"
71936,6.1,9.3,62587,50020,102425,28.5,18.2,52083,82151,4893.0,22990,50342,16848,17.6,2010,"East Liverpool, OH"
111277,8.7,0.0,105702,86083,165605,19.1,13.6,83100,133147,6949.0,38058,82505,21845,12.7,2010,"East Stroudsburg, PA"
101164,10.5,7.9,98478,87606,153915,18.3,15.4,77191,122886,5818.0,34604,76724,20833,15.4,2010,"Eau Claire, WI"
96477,16.7,6.3,96386,71120,164909,30.8,21.5,84554,119470,5265.0,50670,80355,17853,17.6,2010,"El Centro, CA"
72960,4.0,2.7,65938,49664,108865,27.9,16.7,59592,82539,6632.0,28916,49273,14011,14.4,2010,"Elizabethtown, KY"
121801,7.6,0.0,116225,98879,194406,27.7,17.5,99304,144865,5419.0,55391,95102,22790,14.5,2010,"Elkhart, IN"
58723,11.4,2.4,51913,43395,83372,21.6,14.8,41081,66710,6476.0,18919,42291,12540,13.1,2010,"Elmira, NY"
466290,19.0,2.4,470924,335668,793252,33.4,24.3,411906,580105,6021.0,240628,381346,81700,20.6,2010,"El Paso, TX"
65840,12.6,5.7,60883,44072,98899,30.6,20.9,50406,77057,4535.0,24468,48493,13548,18.9,2010,"Enterprise, AL"
178392,7.9,3.9,168277,136118,268692,24.7,17.4,138203,215203,5861.0,61232,130489,39183,16.9,2010,"Erie, PA"
234953,8.4,2.1,224153,176867,343938,23.4,19.3,175185,284622,6735.0,68178,168753,51607,20.6,2010,"Eugene, OR"
90107,9.2,6.7,88165,68953,131312,17.9,17.7,65704,108379,5774.0,25953,65608,17194,19.3,2010,"Eureka, CA"
236492,6.2,2.2,218962,183367,348412,18.2,13.6,177633,276951,6551.0,80501,170779,48949,13.6,2010,"Evansville, IN"
59040,5.7,1.9,64293,49819,93983,7.9,7.0,44629,72584,5382.0,23854,49354,5836,6.8,2010,"Fairbanks, AK"
46729,38.4,0.0,42012,27593,70362,59.5,44.5,37038,55553,6685.0,17022,33324,11328,40.0,2010,"Fajardo, PR"
127230,9.3,3.6,132967,122737,200192,13.2,12.7,98542,158350,5241.0,46646,101650,20579,13.1,2010,"Fargo, ND"
39550,8.2,4.8,35349,26981,57952,22.2,18.5,29797,46161,6276.0,13655,28155,8948,19.7,2010,"Farmington, MO"
78532,17.7,3.0,77734,53500,127900,41.6,27.1,64556,95036,6931.0,36550,63344,13616,21.9,2010,"Farmington, NM"
216330,12.1,5.4,217014,152171,348898,25.1,18.2,185862,260428,5593.0,98347,163036,33537,16.1,2010,"Fayetteville, NC"
284328,8.2,5.4,280111,231457,453361,18.6,15.0,228518,343352,6423.0,123199,224843,50051,14.6,2010,"Fayetteville, AR"
49363,3.9,7.9,44729,39269,72803,15.6,12.4,37385,57643,6733.0,17420,35418,10654,13.1,2010,"Findlay, OH"
76336,15.0,6.5,82506,65304,125569,29.7,25.9,64348,97815,6113.0,31088,61221,11975,26.0,2010,"Flagstaff, AZ"
278163,6.3,3.6,258306,192192,417689,31.0,21.0,216458,326381,6839.0,102781,201231,56602,20.3,2010,"Flint, MI"
134845,13.0,3.3,125555,95050,203160,32.5,21.8,108033,158498,5414.0,49946,95127,27659,19.5,2010,"Florence, SC"
97085,10.8,6.0,85363,66033,140880,30.9,19.1,72985,112473,6261.0,31914,67895,23603,17.0,2010,"Florence, AL"
68565,8.8,5.6,61782,57743,99408,18.8,12.5,50771,79493,4940.0,22579,48637,15047,11.2,2010,"Fond du Lac, WI"
47195,20.2,6.0,40889,30563,67445,35.5,26.4,34602,54695,4675.0,14831,32843,11725,24.9,2010,"Forest City, NC"
191578,6.1,5.1,194231,165553,292677,12.9,14.3,146444,236424,6108.0,63307,146233,35139,16.2,2010,"Fort Collins, CO"
45407,11.2,3.2,42707,32419,70453,30.8,19.6,35234,53998,5267.0,18233,35219,9513,16.6,2010,"Fort Payne, AL"
193847,8.6,4.9,181095,137776,297546,29.3,18.9,150948,229929,6176.0,76037,146598,40414,16.8,2010,"Fort Smith, AR"
262753,7.0,2.5,250405,206657,408524,17.7,12.8,208471,312722,5892.0,108475,200053,49644,11.8,2010,"Fort Wayne, IN"
47513,10.8,1.2,43647,34036,68421,30.0,18.8,35718,54595,5556.0,15831,32703,8943,16.4,2010,"Frankfort, KY"
537326,11.8,4.3,551278,427839,917306,38.7,26.8,462687,675870,5906.0,274931,454619,91097,23.4,2010,"Fresno, CA"
70922,9.4,2.0,63612,44776,103167,27.7,18.0,52174,83214,6483.0,23257,50993,16298,16.7,2010,"Gadsden, AL"
156392,8.1,3.7,170631,129482,247948,29.8,27.0,128201,206674,8043.0,46920,119747,30397,29.5,2010,"Gainesville, FL"
110310,6.2,3.6,105475,84861,174950,26.5,18.5,89747,131170,6980.0,48937,85203,20538,17.1,2010,"Gainesville, GA"
44753,5.8,2.9,37309,31315,63105,27.7,14.9,31084,51709,5075.0,13393,32021,12403,13.3,2010,"Galesburg, IL"
40385,25.1,0.0,41777,25598,71242,40.6,33.4,36644,52580,6380.0,22435,34598,7030,30.9,2010,"Gallup, NM"
67818,4.1,1.1,60043,54311,97819,20.5,10.2,50171,78090,4428.0,22181,47648,15595,8.0,2010,"Gettysburg, PA"
89090,4.8,1.2,77824,65437,123904,13.3,9.4,63457,101205,4939.0,26032,60447,20048,9.3,2010,"Glens Falls, NY"
79532,9.8,3.3,74226,59656,119924,29.5,19.7,62232,93210,5010.0,29903,57692,15795,17.9,2010,"Goldsboro, NC"
57675,9.2,1.1,60517,53112,92065,12.9,14.4,44869,73964,6407.0,20406,47196,11142,15.9,2010,"Grand Forks, ND"
46312,6.9,3.2,42947,41658,71382,18.8,12.9,36131,54339,6246.0,19225,35251,9210,11.6,2010,"Grand Island, NE"
95722,5.2,2.7,86868,71168,142123,20.4,16.4,72338,111489,6446.0,34121,69785,21134,17.5,2010,"Grand Junction, CO"
487373,6.0,3.7,469942,391900,753925,23.8,16.4,382479,580700,6058.0,195825,371446,88158,15.2,2010,"Grand Rapids, MI"
59178,10.2,11.6,47209,36837,81898,24.1,17.3,42022,67663,5880.0,16599,39876,18090,17.7,2010,"Grants Pass, OR"
53945,7.0,2.6,48958,38799,79745,20.1,11.9,39669,63216,4686.0,18496,40076,12291,10.0,2010,"Great Falls, MT"
152686,7.6,6.5,154344,129341,248550,20.1,14.9,124404,185236,5738.0,70626,124146,23580,13.6,2010,"Greeley, CO"
200561,7.4,2.0,185416,161027,295680,15.5,10.7,148026,230886,5821.0,73759,147654,36505,9.4,2010,"Green Bay, WI"
48024,23.1,1.8,42392,31044,67958,35.7,25.7,33977,55294,4155.0,14025,33981,11541,23.2,2010,"Greeneville, TN"
473635,8.2,1.8,448324,369028,707715,27.4,18.1,368659,558102,6474.0,167612,339056,91779,16.6,2010,"Greensboro, NC"
110378,12.9,2.5,119823,99755,180217,27.2,21.4,94729,141729,7162.0,42267,85488,18127,20.6,2010,"Greenville, NC"
414620,7.1,2.8,388488,311519,619211,22.0,15.8,319011,488567,6338.0,147630,300200,83093,15.3,2010,"Greenville, SC"
44668,9.7,1.7,41115,33254,68469,37.3,24.2,36292,53403,5797.0,16388,32177,10966,22.9,2010,"Greenwood, SC"
