City,Year,"Total Revenue","Individual Income Tax","Education Services Expenditure","Social Services and Income Maintenance Expenditure","Transportation Expenditure","Police Protection Expenditure","Environment and Housing Expenditure","Total Expenditures","Intergovernmental Expenditures","Current Operations","Assistance and Subsidies","Census ID - City","City Population"
"AR: Ft. Smith (County)",2012,466,0,2,8,45,36,10,314,0,246,0
"AR: Ft. Smith",2013,"4,170",0,"1,877",6,329,220,549,"4,225",4,"3,209",0,42066003,87630
"AR: Ft. Smith (City)",2013,"1,782",0,33,2,281,179,412,"1,904",0,"1,114",0,42066003
"AR: Ft. Smith (County)",2013,465,0,2,4,48,40,13,321,0,270,0
"AR: Ft. Smith",2014,"4,432",0,"1,967",5,382,221,634,"4,564",50,"3,250",0,42066003,87400
"AR: Ft. Smith (City)",2014,"1,947",0,35,1,340,182,493,"2,141",0,"1,158",0,42066003
"AR: Ft. Smith (County)",2014,486,0,2,4,42,38,13,326,46,254,0
"AR: Ft. Smith",2015,"4,400",0,"1,983",6,346,227,677,"4,687",53,"3,373",0,42066003,87154
"AR: Ft. Smith (City)",2015,"1,823",0,35,1,305,181,496,"2,172",0,"1,185",0,42066003
"AR: Ft. Smith (County)",2015,492,0,3,4,41,46,35,383,48,281,0
"AR: Ft. Smith",2016,"4,546",0,"1,922",19,427,222,575,"4,588",53,"3,415",0,42066003,87697
"AR: Ft. Smith (City)",2016,"1,937",0,36,1,376,187,394,"2,127",0,"1,204",0,42066003
"AR: Ft. Smith (County)",2016,487,0,2,18,51,35,31,387,47,288,0
"AR: Ft. Smith",2017,"4,747",0,"1,941",17,496,208,595,"4,688",51,"3,388",0,42066003,87615
"AR: Ft. Smith (City)",2017,"2,154",0,32,1,449,166,436,"2,230",0,"1,141",0,42066003
"AR: Ft. Smith (County)",2017,495,0,3,15,47,42,10,368,47,292,0
"AR: Little Rock",2010,"4,499",0,"2,052",105,384,366,"1,068","5,269",150,"3,868",0,42060004,192196
"AR: Little Rock (City)",2010,"1,749",0,31,104,352,339,876,"2,560",0,"1,625",0,42060004
"AR: Little Rock (County)",2010,504,0,0,1,30,26,11,257,0,233,0
"AR: Little Rock",2011,"4,697",0,"2,184",118,363,331,928,"5,168",147,"3,915",0,42060004,193928
"AR: Little Rock (City)",2011,"1,844",0,53,118,317,305,734,"2,323",0,"1,548",0,42060004
"AR: Little Rock (County)",2011,512,0,0,0,45,26,11,280,0,247,0
"AR: Little Rock",2012,"4,757",0,"1,948",117,368,330,689,"4,716",145,"3,752",0,42060004,195210
"AR: Little Rock (City)",2012,"1,883",0,31,117,314,303,519,"2,076",0,"1,514",0,42060004
"AR: Little Rock (County)",2012,496,0,0,1,53,27,11,298,0,274,0
"AR: Little Rock",2013,"4,813",0,"1,969",128,475,401,632,"4,801",141,"3,838",0,42060004,196504
"AR: Little Rock (City)",2013,"2,116",0,56,127,434,372,481,"2,230",0,"1,626",0,42060004
"AR: Little Rock (County)",2013,518,0,0,1,40,29,10,271,0,246,0
"AR: Little Rock",2014,"4,777",0,"1,940",123,463,405,606,"4,817",134,"3,827",0,42060004,197084
"AR: Little Rock (City)",2014,"2,153",0,60,123,426,377,461,"2,287",0,"1,646",0,42060004
"AR: Little Rock (County)",2014,492,0,0,1,36,28,10,272,0,247,0
"AR: Little Rock",2015,"4,599",0,"1,857",125,421,450,708,"4,782",77,"3,870",0,42060004,197533
"AR: Little Rock (City)",2015,"2,030",0,34,124,374,423,546,"2,341",0,"1,677",0,42060004
"AR: Little Rock (County)",2015,479,0,0,1,45,27,10,284,0,254,0
"AR: Little Rock",2016,"4,674",0,"1,812",153,407,401,721,"4,882",83,"3,810",0,42060004,198135
"AR: Little Rock (City)",2016,"2,049",0,30,152,360,372,574,"2,466",0,"1,666",0,42060004
"AR: Little Rock (County)",2016,530,0,0,1,45,30,14,325,0,275,0
"AR: Little Rock",2017,"4,631",0,"1,875",191,496,388,747,"5,015",71,"3,721",0,42060004,198673
"AR: Little Rock (City)",2017,"2,096",0,50,190,448,360,586,"2,574",0,"1,694",0,42060004
"AR: Little Rock (County)",2017,519,0,0,1,47,28,17,322,0,274,0
"AR: Pine Bluff",2010,"3,468",0,"1,981",19,142,288,379,"3,620",7,"3,133",0,42035003,49429
"AR: Pine Bluff (City)",2010,929,0,0,14,84,231,241,"1,045",0,868,0,42035003
"AR: Pine Bluff (County)",2010,574,0,0,5,55,56,27,425,0,356,0
"AR: Pine Bluff",2011,"3,517",0,"1,923",15,141,282,393,"3,552",5,"3,029",0,42035003,48938
"AR: Pine Bluff (City)",2011,"1,058",0,0,13,84,224,242,"1,061",0,803,0,42035003
"AR: Pine Bluff (County)",2011,501,0,0,2,55,58,29,404,0,352,0
"AR: Pine Bluff",2012,"3,263",0,"1,674",8,155,293,407,"3,463",3,"2,933",0,42035003,48025
"AR: Pine Bluff (City)",2012,938,0,0,6,103,234,272,"1,230",0,890,0,42035003
"AR: Pine Bluff (County)",2012,500,0,0,2,49,59,26,406,0,351,0
"AR: Pine Bluff",2013,"3,321",0,"1,623",8,158,322,344,"3,230",6,"2,863",0,42035003,46834
"AR: Pine Bluff (City)",2013,"1,060",0,0,6,103,254,284,"1,120",0,887,0,42035003
"AR: Pine Bluff (County)",2013,536,0,0,2,51,68,22,402,0,348,0
"AR: Pine Bluff",2014,"3,422",0,"1,720",8,148,345,394,"3,485",4,"2,945",0,42035003,45817
"AR: Pine Bluff (City)",2014,"1,063",0,0,6,96,255,271,"1,203",0,892,0,42035003
"AR: Pine Bluff (County)",2014,558,0,0,3,49,89,28,422,0,348,0
"AR: Pine Bluff",2015,"3,475",0,"1,746",8,159,335,424,"3,465",5,"3,005",0,42035003,45208
"AR: Pine Bluff (City)",2015,"1,000",0,0,6,100,268,282,"1,164",0,936,0,42035003
"AR: Pine Bluff (County)",2015,553,0,0,3,55,67,34,403,0,370,0
"AR: Pine Bluff",2016,"3,337",0,"1,581",11,153,381,437,"3,285",5,"2,934",0,42035003,44809
"AR: Pine Bluff (City)",2016,972,0,0,9,91,323,292,"1,171",0,952,0,42035003
"AR: Pine Bluff (County)",2016,548,0,0,2,57,58,28,377,0,346,0
"AR: Pine Bluff",2017,"3,418",0,"1,536",12,160,393,458,"3,280",7,"2,972",0,42035003,43870
"AR: Pine Bluff (City)",2017,"1,064",0,0,9,96,337,306,"1,193",0,999,0,42035003
"AR: Pine Bluff (County)",2017,541,0,0,2,59,56,27,384,0,353,0
"AZ: Mesa",2010,"4,771",0,"1,440",230,219,454,393,"4,859",31,"3,939",2,32007008,440860
