newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Bakersfield, CA",1261,4321.0,Bakersfield-Delano,City of Bakersfield,39,"Bakersfield-Delano, CA M.S.A.",8123.0,Bakersfield,2396.0,18,351568,14840,,548.0,CA,1866,2011
"Delano, CA",164,773.0,Bakersfield-Delano,City of Delano,7,"Bakersfield-Delano, CA M.S.A.",513.0,Delano,358.0,1,53665,1644,,48.0,CA,220,2011
"Baltimore, MD",4891,8615.0,Baltimore-Towson,City of Baltimore,341,"Baltimore-Towson, MD M.S.A.",17010.0,Baltimore,4199.0,196,626848,29824,,3457.0,MD,8885,2011
"Bangor, ME",23,249.0,Bangor,City of Bangor,9,"Bangor, ME M.S.A.",1389.0,Bangor,34.0,2,33035,1672,,35.0,ME,69,2011
"Barnstable , MA",242,360.0,Barnstable Town,City of Barnstable ,28,"Barnstable Town, MA M.S.A.",855.0,Barnstable ,63.0,1,45468,1278,,32.0,MA,303,2011
"Baton Rouge, LA",1460,4220.0,Baton Rouge,City of Baton Rouge,51,"Baton Rouge, LA M.S.A.",7946.0,Baton Rouge,500.0,64,231592,12666,,893.0,LA,2468,2011
"Battle Creek, MI",402,1146.0,Battle Creek,City of Battle Creek,62,"Battle Creek, MI M.S.A.",1846.0,Battle Creek,97.0,5,61658,3089,,98.0,MI,567,2011
"Bay City, MI",99,244.0,Bay City,City of Bay City,36,"Bay City, MI M.S.A.",524.0,Bay City,29.0,0,34906,797,,35.0,MI,170,2011
"Beaumont, TX",635,2035.0,Beaumont-Port Arthur,City of Beaumont,65,"Beaumont-Port Arthur, TX M.S.A.",4336.0,Beaumont,285.0,13,120785,6656,,356.0,TX,1069,2011
"Port Arthur, TX",241,950.0,Beaumont-Port Arthur,City of Port Arthur,29,"Beaumont-Port Arthur, TX M.S.A.",1740.0,Port Arthur,163.0,8,54950,2853,,156.0,TX,434,2011
"Bellingham, WA",108,646.0,Bellingham,City of Bellingham,35,"Bellingham, WA M.S.A.",2961.0,Bellingham,131.0,1,82154,3738,,55.0,WA,199,2011
"Bend, OR",151,365.0,Bend,City of Bend,25,"Bend, OR M.S.A.",1978.0,Bend,73.0,1,77455,2416,,27.0,OR,204,2011
"Billings, MT",239,669.0,Billings,City of Billings1,36,"Billings, MT M.S.A.1",3689.0,Billings,335.0,2,105095,4693,,36.0,MT,313,2011
"Binghamton, NY",175,415.0,Binghamton,City of Binghamton,17,"Binghamton, NY M.S.A.",1796.0,Binghamton,73.0,0,47589,2284,,76.0,NY,268,2011
"Birmingham, AL",1916,5806.0,Birmingham-Hoover,City of Birmingham1,182,"Birmingham-Hoover, AL M.S.A.1",10522.0,Birmingham,1513.0,54,213258,17841,,1011.0,AL,3163,2011
"Hoover, AL",17,422.0,Birmingham-Hoover,City of Hoover1,7,"Birmingham-Hoover, AL M.S.A.1",1663.0,Hoover,109.0,0,82012,2194,,35.0,AL,59,2011
"Bismarck, ND",123,258.0,Bismarck,City of Bismarck,27,"Bismarck, ND M.S.A.",1494.0,Bismarck,113.0,1,62305,1865,,15.0,ND,166,2011
"Blacksburg, VA",10,84.0,Blacksburg-Christiansburg-Radford,City of Blacksburg,9,"Blacksburg-Christiansburg-Radford, VA M.S.A.",490.0,Blacksburg,17.0,0,43129,591,,5.0,VA,24,2011
"Christiansburg, VA",17,98.0,Blacksburg-Christiansburg-Radford,City of Christiansburg,7,"Blacksburg-Christiansburg-Radford, VA M.S.A.",615.0,Christiansburg,20.0,0,21292,733,,5.0,VA,29,2011
"Radford, VA",39,97.0,Blacksburg-Christiansburg-Radford,City of Radford,7,"Blacksburg-Christiansburg-Radford, VA M.S.A.",364.0,Radford,16.0,1,16604,477,,8.0,VA,55,2011
