newidx,aggravated_assault,burglary,city,counties_principal_cities,forcible_rape,index,larceny_theft,main_city,motor_vehicle_theft,murder_and_nonnegligent_manslaughter,population,property_crime,rape1,robbery,state,violent_crime,year
"Taylor, MI",239,629.0,Detroit-Warren-Livonia,City of Taylor,29,"Detroit-Warren-Livonia, MI M.S.A.",1640.0,Taylor,231.0,2,58158,2500,,78.0,MI,348,2010
"Novi, MI",28,96.0,Detroit-Warren-Livonia,City of Novi,4,"Detroit-Warren-Livonia, MI M.S.A.",856.0,Novi,48.0,1,54857,1000,,3.0,MI,36,2010
"Dothan, AL",259,995.0,Dothan,City of Dothan,29,"Dothan, AL M.S.A.",2001.0,Dothan,90.0,1,68041,3086,,116.0,AL,405,2010
"Dover, DE",176,151.0,Dover,City of Dover,10,"Dover, DE M.S.A.",1858.0,Dover,113.0,1,37113,2122,,52.0,DE,239,2010
"Dubuque, IA",279,463.0,Dubuque,City of Dubuque,18,"Dubuque, IA M.S.A.",1257.0,Dubuque,51.0,0,57744,1771,,36.0,IA,333,2010
"Duluth, MN",165,605.0,Duluth,"City of Duluth, MN1,3",,"Duluth, MN-WI M.S.A.1,3",3301.0,Duluth MN,,1,84249,,,90.0,MN,,2010
"Durham, NC",872,3652.0,Durham-Chapel Hill,City of Durham,60,"Durham-Chapel Hill, NC M.S.A.",6987.0,Durham,718.0,23,233790,11357,,659.0,NC,1614,2010
"Chapel Hill, NC",45,508.0,Durham-Chapel Hill,City of Chapel Hill,11,"Durham-Chapel Hill, NC M.S.A.",1108.0,Chapel Hill,50.0,0,54164,1666,,32.0,NC,88,2010
"Eau Claire, WI",93,406.0,Eau Claire,City of Eau Claire,21,"Eau Claire, WI M.S.A.",1446.0,Eau Claire,54.0,2,66737,1906,,23.0,WI,139,2010
"El Centro, CA",144,672.0,El Centro,City of El Centro,7,"El Centro, CA M.S.A.",1546.0,El Centro,190.0,1,41535,2408,,45.0,CA,197,2010
"Elizabethtown, KY",13,139.0,Elizabethtown,City of Elizabethtown,13,"Elizabethtown, KY M.S.A.",784.0,Elizabethtown,33.0,0,24712,956,,22.0,KY,48,2010
"Elkhart, IN",4,709.0,Elkhart-Goshen,City of Elkhart,35,"Elkhart-Goshen, IN M.S.A.",1507.0,Elkhart,114.0,1,53296,2330,,116.0,IN,156,2010
"Goshen, IN",7,242.0,Elkhart-Goshen,City of Goshen,11,"Elkhart-Goshen, IN M.S.A.",764.0,Goshen,34.0,0,32812,1040,,15.0,IN,33,2010
"Elmira, NY",70,259.0,Elmira,City of Elmira,5,"Elmira, NY M.S.A.",773.0,Elmira,25.0,4,28823,1057,,29.0,NY,108,2010
"El Paso, TX",2198,1953.0,El Paso,City of El Paso,179,"El Paso, TX M.S.A.",13899.0,El Paso,1552.0,5,624322,17404,,479.0,TX,2861,2010
"Erie, PA",228,1106.0,Erie,City of Erie,78,"Erie, PA M.S.A.",2245.0,Erie,139.0,12,104077,3490,,173.0,PA,491,2010
"Evansville, IN",282,1086.0,Evansville,"City of Evansville, IN",63,"Evansville, IN-KY M.S.A.4",4248.0,Evansville IN,210.0,5,116541,5544,,143.0,IN,493,2010
"Fairbanks, AK",181,149.0,Fairbanks,City of Fairbanks2,70,"Fairbanks, AK M.S.A.2",1117.0,Fairbanks,101.0,0,35989,1367,,33.0,AK,284,2010
"Fargo, ND",223,392.0,Fargo,"City of Fargo, ND",44,"Fargo, ND-MN M.S.A.3",2205.0,Fargo ND,167.0,0,99694,2764,,35.0,ND,302,2010
"Farmington, NM",386,319.0,Farmington,City of Farmington,63,"Farmington, NM M.S.A.",1270.0,Farmington,89.0,3,44563,1678,,25.0,NM,477,2010
"Fayetteville, NC",566,3928.0,Fayetteville,City of Fayetteville,57,"Fayetteville, NC M.S.A.",7916.0,Fayetteville,722.0,17,208263,12566,,461.0,NC,1101,2010
"Fayetteville, AR",235,465.0,Fayetteville-Springdale-Rogers,"City of Fayetteville, AR",55,"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",2168.0,Fayetteville AR,113.0,1,79237,2746,,37.0,AR,328,2010
"Springdale, AR",239,373.0,Fayetteville-Springdale-Rogers,"City of Springdale, AR",68,"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",1631.0,Springdale AR,125.0,0,71047,2129,,18.0,AR,325,2010
"Rogers, AR",156,,Fayetteville-Springdale-Rogers,"City of Rogers, AR5",50,"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",1629.0,Rogers AR,44.0,2,61417,,,11.0,AR,219,2010
"Bentonville, AR",44,142.0,Fayetteville-Springdale-Rogers,"City of Bentonville, AR",15,"Fayetteville-Springdale-Rogers, AR-MO M.S.A.5",537.0,Bentonville AR,26.0,0,39161,705,,4.0,AR,63,2010
"Flagstaff, AZ",176,226.0,Flagstaff,City of Flagstaff,37,"Flagstaff, AZ M.S.A.",2666.0,Flagstaff,63.0,5,58739,2955,,49.0,AZ,267,2010
"Flint, MI",1597,3648.0,Flint,City of Flint,92,"Flint, MI M.S.A.",1936.0,Flint,653.0,53,109245,6237,,670.0,MI,2412,2010
"Florence, SC",236,546.0,Florence,City of Florence,8,"Florence, SC M.S.A.",2215.0,Florence,130.0,2,32273,2891,,108.0,SC,354,2010
"Fond du Lac, WI",97,194.0,Fond du Lac,City of Fond du Lac,21,"Fond du Lac, WI M.S.A.",908.0,Fond du Lac,28.0,0,42369,1130,,13.0,WI,131,2010
"Fort Collins, CO",324,643.0,Fort Collins-Loveland,City of Fort Collins,64,"Fort Collins-Loveland, CO M.S.A.",3706.0,Fort Collins,202.0,0,138689,4551,,50.0,CO,438,2010
"Loveland, CO",92,199.0,Fort Collins-Loveland,City of Loveland,21,"Fort Collins-Loveland, CO M.S.A.",1325.0,Loveland,68.0,0,66857,1592,,15.0,CO,128,2010
"Fort Smith, AR",463,1073.0,Fort Smith,"City of Fort Smith, AR",74,"Fort Smith, AR-OK M.S.A.",3530.0,Fort Smith AR,212.0,6,86096,4815,,124.0,AR,667,2010
"Fort Wayne, IN",313,2140.0,Fort Wayne,City of Fort Wayne2,96,"Fort Wayne, IN M.S.A.2",6433.0,Fort Wayne,287.0,23,257009,8860,,314.0,IN,746,2010
"Fresno, CA",1898,5262.0,Fresno,City of Fresno,70,"Fresno, CA M.S.A.",14645.0,Fresno,4553.0,45,484734,24460,,1021.0,CA,3034,2010
"Gadsden, AL",173,681.0,Gadsden,City of Gadsden,30,"Gadsden, AL M.S.A.",1797.0,Gadsden,142.0,5,36835,2620,,110.0,AL,318,2010
"Gainesville, FL",617,1213.0,Gainesville,City of Gainesville,86,"Gainesville, FL M.S.A.",3859.0,Gainesville,332.0,4,116880,5404,,199.0,FL,906,2010
"Gainesville, GA",62,278.0,Gainesville,City of Gainesville,17,"Gainesville, GA M.S.A.",1283.0,Gainesville,62.0,1,35657,1623,,39.0,GA,119,2010
"Glens Falls, NY",37,29.0,Glens Falls,City of Glens Falls,2,"Glens Falls, NY M.S.A.",177.0,Glens Falls,3.0,0,13650,209,,3.0,NY,42,2010
"Goldsboro, NC",273,734.0,Goldsboro,City of Goldsboro,3,"Goldsboro, NC M.S.A.",1663.0,Goldsboro,128.0,5,38179,2525,,105.0,NC,386,2010
"Grand Forks, ND",79,252.0,Grand Forks,"City of Grand Forks, ND",33,"Grand Forks, ND-MN M.S.A.3",1095.0,Grand Forks ND,77.0,0,53382,1424,,7.0,ND,119,2010
"Grand Junction, CO",134,333.0,Grand Junction,City of Grand Junction,42,"Grand Junction, CO M.S.A.",1734.0,Grand Junction,100.0,2,59029,2167,,28.0,CO,206,2010
"Grand Rapids, MI",1025,2771.0,Grand Rapids-Wyoming,City of Grand Rapids,90,"Grand Rapids-Wyoming, MI M.S.A.",4609.0,Grand Rapids,380.0,9,191566,7760,,521.0,MI,1645,2010
"Wyoming, MI",144,515.0,Grand Rapids-Wyoming,City of Wyoming,39,"Grand Rapids-Wyoming, MI M.S.A.",911.0,Wyoming,160.0,1,70160,1586,,46.0,MI,230,2010
"Great Falls, MT",93,308.0,Great Falls,City of Great Falls,6,"Great Falls, MT M.S.A.",2343.0,Great Falls,125.0,4,59984,2776,,21.0,MT,124,2010
"Greeley, CO",327,537.0,Greeley,City of Greeley,41,"Greeley, CO M.S.A.",2285.0,Greeley,148.0,1,92804,2970,,56.0,CO,425,2010
"Green Bay, WI",247,568.0,Green Bay,City of Green Bay2,54,"Green Bay, WI M.S.A.2",1917.0,Green Bay,110.0,2,101320,2595,,67.0,WI,370,2010
"Greensboro, NC",810,4221.0,Greensboro-High Point,City of Greensboro,56,"Greensboro-High Point, NC M.S.A.",8755.0,Greensboro,800.0,20,257237,13776,,626.0,NC,1512,2010
"High Point, NC",352,1291.0,Greensboro-High Point,City of High Point,28,"Greensboro-High Point, NC M.S.A.",3289.0,High Point,216.0,2,103473,4796,,216.0,NC,598,2010
"Greenville, SC",313,597.0,Greenville-Mauldin-Easley,City of Greenville,20,"Greenville-Mauldin-Easley, SC M.S.A.",2499.0,Greenville,169.0,3,62368,3265,,132.0,SC,468,2010
"Mauldin, SC",56,83.0,Greenville-Mauldin-Easley,City of Mauldin,2,"Greenville-Mauldin-Easley, SC M.S.A.",428.0,Mauldin,37.0,0,23218,548,,17.0,SC,75,2010
"Easley, SC",54,161.0,Greenville-Mauldin-Easley,City of Easley,4,"Greenville-Mauldin-Easley, SC M.S.A.",826.0,Easley,47.0,2,20818,1034,,10.0,SC,70,2010
"Gulfport, MS",65,920.0,Gulfport-Biloxi,City of Gulfport,23,"Gulfport-Biloxi, MS M.S.A.",2642.0,Gulfport,153.0,6,70806,3715,,67.0,MS,161,2010
"Biloxi, MS",59,943.0,Gulfport-Biloxi,City of Biloxi,33,"Gulfport-Biloxi, MS M.S.A.",1442.0,Biloxi,131.0,1,45350,2516,,118.0,MS,211,2010
"Hagerstown, MD",70,303.0,Hagerstown-Martinsburg,"City of Hagerstown, MD",10,"Hagerstown-Martinsburg, MD-WV M.S.A.",1013.0,Hagerstown MD,120.0,0,40564,1436,,97.0,MD,177,2010
"Martinsburg, MD",46,115.0,Hagerstown-Martinsburg,"City of Martinsburg, WV",2,"Hagerstown-Martinsburg, MD-WV M.S.A.",815.0,Martinsburg WV,39.0,0,17654,969,,17.0,MD,65,2010
"Hanford, CA",132,252.0,Hanford-Corcoran,City of Hanford,6,"Hanford-Corcoran, CA M.S.A.",707.0,Hanford,200.0,0,50903,1159,,43.0,CA,181,2010
"Corcoran, CA",37,119.0,Hanford-Corcoran,City of Corcoran,1,"Hanford-Corcoran, CA M.S.A.",135.0,Corcoran,35.0,0,25112,289,,4.0,CA,42,2010
"Harrisburg, PA",257,666.0,Harrisburg-Carlisle,City of Harrisburg,63,"Harrisburg-Carlisle, PA M.S.A.",1377.0,Harrisburg,192.0,14,47509,2235,,446.0,PA,780,2010
"Carlisle, PA",17,72.0,Harrisburg-Carlisle,City of Carlisle,10,"Harrisburg-Carlisle, PA M.S.A.",482.0,Carlisle,3.0,0,18708,557,,27.0,PA,54,2010
"Harrisonburg, VA",66,135.0,Harrisonburg,City of Harrisonburg,11,"Harrisonburg, VA M.S.A.",901.0,Harrisonburg,36.0,1,45804,1072,,13.0,VA,91,2010
"Hartford, CT",982,1019.0,Hartford-West Hartford-East Hartford,City of Hartford,46,"Hartford-West Hartford-East Hartford, CT M.S.A.",3639.0,Hartford,837.0,26,125626,5495,,570.0,CT,1624,2010
"West Hartford, CT",14,210.0,Hartford-West Hartford-East Hartford,City of West Hartford,2,"Hartford-West Hartford-East Hartford, CT M.S.A.",1190.0,West Hartford,64.0,1,61603,1464,,44.0,CT,61,2010
"East Hartford, CT",86,345.0,Hartford-West Hartford-East Hartford,City of East Hartford,20,"Hartford-West Hartford-East Hartford, CT M.S.A.",1042.0,East Hartford,158.0,6,49156,1545,,74.0,CT,186,2010
"Middletown, CT",35,157.0,Hartford-West Hartford-East Hartford,City of Middletown,4,"Hartford-West Hartford-East Hartford, CT M.S.A.",914.0,Middletown,59.0,0,49281,1130,,20.0,CT,59,2010
"Hattiesburg, MS",40,434.0,Hattiesburg,City of Hattiesburg,9,"Hattiesburg, MS M.S.A.",1809.0,Hattiesburg,74.0,4,53678,2317,,62.0,MS,115,2010
"Hickory, NC",118,616.0,Hickory-Lenoir-Morganton,City of Hickory,22,"Hickory-Lenoir-Morganton, NC M.S.A.",1836.0,Hickory,121.0,1,41892,2573,,76.0,NC,217,2010
"Lenoir, NC",26,178.0,Hickory-Lenoir-Morganton,City of Lenoir,3,"Hickory-Lenoir-Morganton, NC M.S.A.",641.0,Lenoir,45.0,0,17840,864,,26.0,NC,55,2010
"Morganton, NC",25,121.0,Hickory-Lenoir-Morganton,City of Morganton,4,"Hickory-Lenoir-Morganton, NC M.S.A.",355.0,Morganton,18.0,0,17001,494,,11.0,NC,40,2010
"Hinesville, GA",90,448.0,Hinesville-Fort Stewart,City of Hinesville,9,"Hinesville-Fort Stewart, GA M.S.A.",1148.0,Hinesville,64.0,5,29764,1660,,45.0,GA,149,2010
"Holland, MI",78,153.0,Holland-Grand Haven,City of Holland,25,"Holland-Grand Haven, MI M.S.A.",641.0,Holland,19.0,0,26443,813,,12.0,MI,115,2010
"Grand Haven, MI",20,40.0,Holland-Grand Haven,City of Grand Haven,6,"Holland-Grand Haven, MI M.S.A.",314.0,Grand Haven,5.0,0,10574,359,,1.0,MI,27,2010
"Honolulu, HI",1420,5760.0,Honolulu,City of Honolulu,218,"Honolulu, HI M.S.A.",22007.0,Honolulu,3901.0,19,950268,31668,,891.0,HI,2548,2010
"Hot Springs, AR",301,793.0,Hot Springs,City of Hot Springs,22,"Hot Springs, AR M.S.A.",2161.0,Hot Springs,170.0,7,40081,3124,,72.0,AR,402,2010
"Houma, LA",152,358.0,Houma-Bayou Cane-Thibodaux,City of Houma,12,"Houma-Bayou Cane-Thibodaux, LA M.S.A.",1131.0,Houma,87.0,4,32688,1576,,86.0,LA,254,2010
"Thibodaux, LA",49,119.0,Houma-Bayou Cane-Thibodaux,City of Thibodaux,4,"Houma-Bayou Cane-Thibodaux, LA M.S.A.",653.0,Thibodaux,24.0,0,14487,796,,16.0,LA,69,2010
"Houston, TX",12061,27924.0,Houston-Sugar Land-Baytown,City of Houston,712,"Houston-Sugar Land-Baytown, TX M.S.A.",74582.0,Houston,12817.0,269,2280859,115323,,9449.0,TX,22491,2010
"Sugar Land, TX",75,235.0,Houston-Sugar Land-Baytown,City of Sugar Land,7,"Houston-Sugar Land-Baytown, TX M.S.A.",1556.0,Sugar Land,88.0,0,83368,1879,,60.0,TX,142,2010
"Baytown, TX",126,822.0,Houston-Sugar Land-Baytown,City of Baytown,21,"Houston-Sugar Land-Baytown, TX M.S.A.",2707.0,Baytown,320.0,6,71082,3849,,148.0,TX,301,2010
"Galveston, TX",167,787.0,Houston-Sugar Land-Baytown,City of Galveston,77,"Houston-Sugar Land-Baytown, TX M.S.A.",2144.0,Galveston,250.0,1,55835,3181,,128.0,TX,373,2010
"Conroe, TX",141,601.0,Houston-Sugar Land-Baytown,City of Conroe,22,"Houston-Sugar Land-Baytown, TX M.S.A.",2079.0,Conroe,135.0,5,60677,2815,,80.0,TX,248,2010
"Huntsville, AL",631,2677.0,Huntsville,City of Huntsville,76,"Huntsville, AL M.S.A.",6230.0,Huntsville,861.0,12,183357,9768,,463.0,AL,1182,2010
"Idaho Falls, ID",142,327.0,Idaho Falls,City of Idaho Falls,23,"Idaho Falls, ID M.S.A.",1194.0,Idaho Falls,61.0,3,55524,1582,,14.0,ID,182,2010
"Iowa City, IA",120,283.0,Iowa City,City of Iowa City,32,"Iowa City, IA M.S.A.",1176.0,Iowa City,74.0,0,70411,1533,,31.0,IA,183,2010
"Ithaca, NY",33,152.0,Ithaca,City of Ithaca,4,"Ithaca, NY M.S.A.",963.0,Ithaca,28.0,0,29791,1143,,23.0,NY,60,2010
"Jackson, MI",218,406.0,Jackson,City of Jackson,42,"Jackson, MI M.S.A.",1127.0,Jackson,53.0,5,32741,1586,,54.0,MI,319,2010
"Jackson, MS",490,4818.0,Jackson,City of Jackson,101,"Jackson, MS M.S.A.",6877.0,Jackson,1555.0,41,174153,13250,,1086.0,MS,1718,2010
"Jackson, TN",369,1096.0,Jackson,City of Jackson,25,"Jackson, TN M.S.A.",2704.0,Jackson,244.0,2,63969,4044,,145.0,TN,541,2010
"Jacksonville, FL",3380,9588.0,Jacksonville,City of Jacksonville,316,"Jacksonville, FL M.S.A.",25863.0,Jacksonville,1973.0,80,822414,37424,,1693.0,FL,5469,2010
"Janesville, WI",100,383.0,Janesville,City of Janesville,30,"Janesville, WI M.S.A.",1980.0,Janesville,48.0,1,63651,2411,,39.0,WI,170,2010
"Jefferson City, MO",150,284.0,Jefferson City,City of Jefferson City,6,"Jefferson City, MO M.S.A.",1348.0,Jefferson City,36.0,1,41092,1668,,40.0,MO,197,2010
"Johnson City, TN",193,574.0,Johnson City,City of Johnson City,25,"Johnson City, TN M.S.A.",2346.0,Johnson City,90.0,1,63750,3010,,59.0,TN,278,2010
"Johnstown, PA",53,256.0,Johnstown,City of Johnstown,6,"Johnstown, PA M.S.A.",502.0,Johnstown,28.0,3,22900,786,,43.0,PA,105,2010
"Jonesboro, AR",215,1213.0,Jonesboro,City of Jonesboro,22,"Jonesboro, AR M.S.A.",1619.0,Jonesboro,69.0,2,67382,2901,,56.0,AR,295,2010
"Joplin, MO",184,558.0,Joplin,City of Joplin,39,"Joplin, MO M.S.A.",2612.0,Joplin,234.0,1,50346,3404,,64.0,MO,288,2010
"Kalamazoo, MI",446,1039.0,Kalamazoo-Portage,City of Kalamazoo,81,"Kalamazoo-Portage, MI M.S.A.",2320.0,Kalamazoo,175.0,9,71775,3534,,185.0,MI,721,2010
"Portage, MI",66,235.0,Kalamazoo-Portage,City of Portage,19,"Kalamazoo-Portage, MI M.S.A.",1534.0,Portage,46.0,1,46192,1815,,16.0,MI,102,2010
"Kansas City, MO",3544,7124.0,Kansas City,"City of Kansas City, MO2",234,"Kansas City, MO-KS M.S.A.2",16625.0,Kansas City MO,3170.0,102,483191,26919,,1626.0,MO,5506,2010
"Overland Park, MO",213,491.0,Kansas City,"City of Overland Park, KS",40,"Kansas City, MO-KS M.S.A.2",3389.0,Overland Park KS,305.0,0,178669,4185,,36.0,MO,289,2010
"Kansas City, MO",447,1922.0,Kansas City,"City of Kansas City, KS",62,"Kansas City, MO-KS M.S.A.2",4684.0,Kansas City KS,1129.0,25,143867,7735,,289.0,MO,823,2010
"Kennewick, WA",175,388.0,Kennewick-Pasco-Richland,City of Kennewick,25,"Kennewick-Pasco-Richland, WA M.S.A.",2003.0,Kennewick,126.0,0,68501,2517,,39.0,WA,239,2010
"Pasco, WA",120,324.0,Kennewick-Pasco-Richland,City of Pasco,22,"Kennewick-Pasco-Richland, WA M.S.A.",1006.0,Pasco,118.0,3,61747,1448,,38.0,WA,183,2010
"Richland, WA",46,146.0,Kennewick-Pasco-Richland,City of Richland,12,"Kennewick-Pasco-Richland, WA M.S.A.",751.0,Richland,59.0,0,48335,956,,8.0,WA,66,2010
"Killeen, TX",632,2062.0,Killeen-Temple-Fort Hood,City of Killeen,91,"Killeen-Temple-Fort Hood, TX M.S.A.",3536.0,Killeen,239.0,11,122557,5837,,259.0,TX,993,2010
"Temple, TX",114,537.0,Killeen-Temple-Fort Hood,City of Temple,23,"Killeen-Temple-Fort Hood, TX M.S.A.",1462.0,Temple,80.0,1,60444,2079,,71.0,TX,209,2010
"Kingsport, TN",298,509.0,Kingsport-Bristol-Bristol,"City of Kingsport, TN",26,"Kingsport-Bristol-Bristol, TN-VA M.S.A.",2257.0,Kingsport TN,98.0,1,44587,2864,,52.0,TN,377,2010
"Bristol, TN",119,182.0,Kingsport-Bristol-Bristol,"City of Bristol, TN",12,"Kingsport-Bristol-Bristol, TN-VA M.S.A.",778.0,Bristol TN,43.0,0,25799,1003,,9.0,TN,140,2010
"Bristol, TN",38,90.0,Kingsport-Bristol-Bristol,"City of Bristol, VA",11,"Kingsport-Bristol-Bristol, TN-VA M.S.A.",490.0,Bristol VA,21.0,1,17794,601,,10.0,TN,60,2010
"Kingston, NY",46,142.0,Kingston,City of Kingston,5,"Kingston, NY M.S.A.",451.0,Kingston,18.0,1,22012,611,,29.0,NY,81,2010
"Knoxville, TN",993,2723.0,Knoxville,City of Knoxville,122,"Knoxville, TN M.S.A.",8789.0,Knoxville,810.0,15,185554,12322,,625.0,TN,1755,2010
"Kokomo, IN",66,475.0,Kokomo,City of Kokomo,20,"Kokomo, IN M.S.A.",1862.0,Kokomo,43.0,3,45412,2380,,63.0,IN,152,2010
"La Crosse, WI",97,336.0,La Crosse,"City of La Crosse, WI",23,"La Crosse, WI-MN M.S.A.3",1309.0,La Crosse WI,78.0,1,51184,1723,,34.0,WI,155,2010
"Lafayette, IN",183,524.0,Lafayette,City of Lafayette,30,"Lafayette, IN M.S.A.",2000.0,Lafayette,180.0,2,66388,2704,,49.0,IN,264,2010
"Lafayette, LA",668,1432.0,Lafayette,City of Lafayette,20,"Lafayette, LA M.S.A.",5267.0,Lafayette,290.0,12,115378,6989,,240.0,LA,940,2010
"Lake Charles, LA",306,1826.0,Lake Charles,City of Lake Charles,27,"Lake Charles, LA M.S.A.",1088.0,Lake Charles,133.0,7,71795,3047,,148.0,LA,488,2010
"Lakeland, FL",287,1104.0,Lakeland-Winter Haven,City of Lakeland,20,"Lakeland-Winter Haven, FL M.S.A.",3754.0,Lakeland,241.0,12,94569,5099,,140.0,FL,459,2010
"Winter Haven, FL",164,368.0,Lakeland-Winter Haven,City of Winter Haven,10,"Lakeland-Winter Haven, FL M.S.A.",1462.0,Winter Haven,85.0,2,33981,1915,,68.0,FL,244,2010
"Lancaster, PA",237,583.0,Lancaster,City of Lancaster,55,"Lancaster, PA M.S.A.",2160.0,Lancaster,114.0,5,55582,2857,,214.0,PA,511,2010
"Lansing, MI",867,1410.0,Lansing-East Lansing,City of Lansing,97,"Lansing-East Lansing, MI M.S.A.",2544.0,Lansing,239.0,10,112254,4193,,262.0,MI,1236,2010
"East Lansing, MI",132,272.0,Lansing-East Lansing,City of East Lansing,7,"Lansing-East Lansing, MI M.S.A.",771.0,East Lansing,46.0,1,45058,1089,,26.0,MI,166,2010
"Laredo, TX",846,1821.0,Laredo,City of Laredo,78,"Laredo, TX M.S.A.",8740.0,Laredo,903.0,9,230674,11464,,209.0,TX,1142,2010
"Las Cruces, NM",332,1110.0,Las Cruces,City of Las Cruces,11,"Las Cruces, NM M.S.A.",3026.0,Las Cruces,190.0,3,97065,4326,,62.0,NM,408,2010
"Las Vegas Metropolitan Police Department, NV",7886,13824.0,Las Vegas-Paradise,City of Las Vegas Metropolitan Police Department,652,"Las Vegas-Paradise, NV M.S.A.",22231.0,Las Vegas Metropolitan Police Department,7164.0,107,1416401,43219,,4003.0,NV,12648,2010
"Lawrence, KS",312,522.0,Lawrence,City of Lawrence,40,"Lawrence, KS M.S.A.",3163.0,Lawrence,156.0,0,93945,3841,,61.0,KS,413,2010
"Lawton, OK",655,1757.0,Lawton,City of Lawton,60,"Lawton, OK M.S.A.",3279.0,Lawton,218.0,3,92025,5254,,113.0,OK,831,2010
"Lebanon, PA",53,169.0,Lebanon,City of Lebanon,10,"Lebanon, PA M.S.A.",473.0,Lebanon,36.0,4,24357,678,,31.0,PA,98,2010
"Lewiston, ID",31,277.0,Lewiston,"City of Lewiston, ID",20,"Lewiston, ID-WA M.S.A.",992.0,Lewiston ID,63.0,0,31860,1332,,2.0,ID,53,2010
"Lewiston, ME",33,179.0,Lewiston-Auburn,City of Lewiston,16,"Lewiston-Auburn, ME M.S.A.",862.0,Lewiston,15.0,2,35153,1056,,42.0,ME,93,2010
"Auburn, ME",13,134.0,Lewiston-Auburn,City of Auburn,9,"Lewiston-Auburn, ME M.S.A.",742.0,Auburn,19.0,0,22953,895,,19.0,ME,41,2010
"Lexington, KY",1026,2679.0,Lexington-Fayette,City of Lexington,87,"Lexington-Fayette, KY M.S.A.",7704.0,Lexington,641.0,18,300069,11024,,593.0,KY,1724,2010
"Lima, OH",208,792.0,Lima,City of Lima,37,"Lima, OH M.S.A.",1328.0,Lima,102.0,3,37182,2222,,88.0,OH,336,2010
"Lincoln, NE",931,1464.0,Lincoln,City of Lincoln,143,"Lincoln, NE M.S.A.",8406.0,Lincoln,348.0,2,259672,10218,,182.0,NE,1258,2010
"Little Rock, AR",1905,4241.0,Little Rock-North Little Rock-Conway,City of Little Rock,149,"Little Rock-North Little Rock-Conway, AR M.S.A.",9440.0,Little Rock,1115.0,25,192922,14796,,859.0,AR,2938,2010
"North Little Rock, AR",358,1136.0,Little Rock-North Little Rock-Conway,City of North Little Rock,14,"Little Rock-North Little Rock-Conway, AR M.S.A.",3618.0,North Little Rock,334.0,6,60129,5088,,184.0,AR,562,2010
"Conway, AR",183,444.0,Little Rock-North Little Rock-Conway,City of Conway,21,"Little Rock-North Little Rock-Conway, AR M.S.A.",2068.0,Conway,91.0,4,61425,2603,,49.0,AR,257,2010
"Logan, UT",15,111.0,Logan,"City of Logan, UT",5,"Logan, UT-ID M.S.A.",486.0,Logan UT,19.0,0,48819,616,,2.0,UT,22,2010
"Longview, TX",387,837.0,Longview,City of Longview,40,"Longview, TX M.S.A.",3002.0,Longview,352.0,10,76523,4191,,131.0,TX,568,2010
"Longview, WA",86,414.0,Longview,City of Longview,22,"Longview, WA M.S.A.",1372.0,Longview,158.0,2,36550,1944,,22.0,WA,132,2010
"Los Angeles, CA",9344,17410.0,Los Angeles-Long Beach-Santa Ana,City of Los Angeles,923,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",55248.0,Los Angeles,17046.0,293,3841707,89704,,10924.0,CA,21484,2010
"Long Beach, CA",1352,2929.0,Los Angeles-Long Beach-Santa Ana,City of Long Beach,134,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",6524.0,Long Beach,2189.0,32,462267,11642,,1202.0,CA,2720,2010
"Santa Ana, CA",675,1116.0,Los Angeles-Long Beach-Santa Ana,City of Santa Ana,88,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",4189.0,Santa Ana,1275.0,28,340240,6580,,719.0,CA,1510,2010
"Anaheim, CA",574,1594.0,Los Angeles-Long Beach-Santa Ana,City of Anaheim,88,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",5869.0,Anaheim,1010.0,7,338492,8473,,492.0,CA,1161,2010
"Irvine, CA",56,480.0,Los Angeles-Long Beach-Santa Ana,City of Irvine,24,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",2197.0,Irvine,121.0,0,217193,2798,,40.0,CA,120,2010
"Glendale, CA",141,642.0,Los Angeles-Long Beach-Santa Ana,City of Glendale,17,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",2747.0,Glendale,328.0,0,196877,3717,,119.0,CA,277,2010
"Pomona, CA",501,867.0,Los Angeles-Long Beach-Santa Ana,City of Pomona,37,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",2406.0,Pomona,1231.0,16,152673,4504,,323.0,CA,877,2010
"Pasadena, CA",341,832.0,Los Angeles-Long Beach-Santa Ana,City of Pasadena,21,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",2864.0,Pasadena,378.0,3,144496,4074,,189.0,CA,554,2010
"Torrance, CA",115,516.0,Los Angeles-Long Beach-Santa Ana,City of Torrance,19,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",2008.0,Torrance,335.0,4,140411,2859,,152.0,CA,290,2010
"Orange, CA",88,404.0,Los Angeles-Long Beach-Santa Ana,City of Orange,3,"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",1944.0,Orange,221.0,3,137606,2569,,56.0,CA,150,2010
